course_id,sequence,title,milestone,release,mode,priority,hours_min,hours_max,dependency_gate,concept_ids,knowledge_block,immediate_learner_action,runnable_evidence
C00,0,Architecture and native bootstrap,M0a,A,foundation-project,F0,6,10,none,PYTORCH-BASICS;ARCH-MAP;ENV-BUILD;CPP-CORE;PY-DATAMODEL,Inference panorama repository boundaries Git Python import compile link CMake and a basic pybind11 module,Create the independent repository then author its architecture map README ignore policy ADR CMake target and first native module,Git boundary checks plus a clean native import and learner explanation prove the source-to-extension path
C01,1,Development build and tests,M0b,A,foundation-project,F0;I0,6,10,C00,BUILD-PACKAGING;TEST-ENGINEERING,CMake target graph editable development install pytest and CTest without release packaging,Author the reproducible local configure build editable-install pytest and CTest entry points,A fresh development environment configures builds imports and passes both focused test layers
C02,2,First CPU inference walking skeleton,M2.5,A,foundation-project,I0,18,30,C01,PY-FRONTEND,A deliberately narrow contiguous FP32 Tensor plus manual add ReLU matmul and minimal Module Parameter Linear frontend,Implement and run Linear ReLU Linear through the native extension while recording every temporary restriction,The first CPU model matches an oracle within 30 to 50 cumulative hours and its temporary direct boundaries are explicit
C03,3,Tensor Storage and numerics depth,M1,B,implementation-trace,I0,27,40,C02,TENSOR-MODEL;NUMERICS,Allocator Storage Tensor metadata ownership views dtype promotion broadcasting and numerical contracts,Replace walking-skeleton assumptions with the real CPU Tensor and adversarial lifetime alias numerical and determinism tests,Native and Python tests prove ownership stride mutation promotion tolerance and deterministic supported behavior
C04,4,Operator lifecycle and CPU hardening,M2,B,implementation-trace,I0;I1,45,75,C03,BIND-CODEGEN;DISPATCH;ATEN-KERNEL;CPU-RUNTIME;CUSTOM-OPS;EXTENSION;SERIALIZATION,Schema codegen Dispatcher CPU kernels parallelism vectorization libraries custom registration and model state,Route the walking-skeleton model through generated schemas and Dispatcher then add reduction view custom-op state round-trip and error paths,Reproducible generation dispatch traces CPU path evidence model parity serialization and positive boundary negative tests pass
C05,5,Native debugging and packaging clinic,M0c,B,implementation-project,F0,15,20,C04,PYBIND;DEBUG-TOOLING,Advanced pybind11 lifetime exception GIL ABI RPATH symbols debugger sanitizer and package inspection,Extend the working model boundary with conversion exception and GIL cases then diagnose one symbolized native failure,Import error concurrency symbol RPATH sanitizer debugger and package evidence identify the actual boundary before CUDA
C06,6,CUDA execution and runtime,M3,B,implementation-trace,I0,65,105,C05,CUDA;CUDA-MEMORY;MIXED-PRECISION;INFERENCE-PERF,CUDA build kernels allocator pinned transfer streams events libraries precision and measurement,Implement real CUDA execution plus one reproducible allocator stream-lifetime failure and repair,CPU-only build remains valid while CUDA correctness memory synchronization error and benchmark evidence pass where hardware exists
C07,7,Model inference semantics,M4,B,implementation-trace,I0;I1,65,100,C06,INFERENCE-MODES;ATTENTION-KVCACHE;QUANTIZATION,Python nn state CNN decoder attention KV cache modes autocast layouts batching and representative quantization,Implement CPU-first CNN and decoder slices then add CUDA mode precision cache and quantized paths,Model parity save-load mode precision dynamic shape cache lifetime and explicit unsupported tests pass
C08,8,Autograd inference boundary,M5,C,implementation-trace,T1,35,55,C07,AUTOGRAD,Reverse-mode Autograd and the inference mutation and mode boundary,Implement the minimal backward formulas version checks SGD MLP smoke and one gradient all-reduce boundary,Gradient checks and seeded in-place failures pass while no-grad and inference behavior remain separately explained
C09,9,Runtime and distributed inference,M6,C,implementation-trace,I0,70,110,C08,RUNTIME;DISTRIBUTED;DISTRIBUTED-DP;DISTRIBUTED-TP,Runtime observability process groups collectives DeviceMesh placements inference DP and row column TP,Implement profiling plus two-process collectives DP and TP model slices with failure cases,Per-rank shape collective reconstruction timeout profiler and unsharded-oracle evidence pass
C10,10,Compiler and AOT inference,M7,C,implementation-trace,I0;I1,65,105,C09,FX-EXPORT;DYNAMO;INDUCTOR;AOT-DEPLOY;COMPILE-BACKEND,Graph IR capture fake symbolic shape guards decomposition lowering fusion cache and reduced AOT,Implement a supported graph compiler for the existing models and debug one wrong transformation,Eager compiled and AOT equivalence dynamic guard recompile fallback and generated-plan evidence pass
C11,11,Dual accelerator integration,M8,C,implementation-trace,I0,90,150,C10,PRIVATEUSE1;PRIVATEUSE-ABI;PRIVATEUSE-RUNTIME;PRIVATEUSE-OPS,MiniTorch PrivateUse C ABI and native PyTorch PrivateUse1 eager compiler runtime and package contracts,Implement both CPU-backed routes gate by gate with capability negotiation fault injection and shared conformance tests,P0 through P5 mock or proxy evidence passes and real hardware claims remain explicitly gated
C12,12,Deployment and full capstone,M9,C,implementation-trace,I0,40,65,C11,COMPAT,Release wheel CI compatibility upgrades and the complete inference capstone,Build a release-grade clean wheel and defend CPU CUDA eager compiled full mixed DP TP and PrivateUse model results,Fresh-install correctness latency throughput memory transfer communication startup and compatibility evidence is reproducible
