question_id,date,concept_id,question,conditions,learner_answer,hint_level,verdict,evidence_id,next_due
Q-20260902-01,2026-09-02,BIND-CODEGEN,Read the add.Tensor schema parameters keyword-only marker variants and structured delegate,First exposure without notes,"Operands and return correct; alpha called a dimension; star said to receive multiple arguments; variants and delegate unknown",H2,partial,E-20260902-01,2026-09-03
Q-20260902-02,2026-09-02,ATEN-KERNEL,Distinguish meta function responsibility from generated CPU kernel responsibility,Immediate retrieval after guided source inspection,Meta records computation information and CPU kernel performs computation,H2,partial,E-20260902-02,2026-09-03
Q-20260902-03,2026-09-02,DISPATCH,Reconstruct the torch.add CPU chain and name two inspected source anchors,No-notes session close,Unknown for chain and anchors,H2,fail,E-20260902-03,2026-09-03
Q-20260902-04,2026-09-02,CPP-CORE,Explain compile versus link and why const Tensor reference is used,Initial diagnostic and no-notes close,"Compile/link unknown; const reference avoids repeated space allocation",H2,fail,E-20260902-04,2026-09-03
Q-20260902-05,2026-09-02,PYTORCH-BASICS,Explain Tensor operator Module forward device training and inference,No-notes session teach-back,"Correct definitions and training/inference distinction; backward computes gradients and optimizer.step updates parameters",H0,pass,E-20260902-05,2026-09-03
Q-20260902-06,2026-09-02,ARCH-MAP,Give one concrete inference example and its event order,No-notes session teach-back,"x Tensor to layer Module to forward to linear operator using weight and bias to output y",H0,pass,E-20260902-06,2026-09-03
Q-20260902-07,2026-09-02,ARCH-MAP,Recall the inspected Linear.forward source file and direct Python-level callee,No-notes close followed by one focused correction,"Recalled F.linear; described source location as the last function in the Linear class; after H1 gave torch/nn/modules/linear.py",H1,partial,E-20260902-07,2026-09-03
Q-20260902-08,2026-09-02,PY-DATAMODEL,Explain self and -> Tensor in the observed forward method,No-notes session teach-back,"self is the current Module object; -> Tensor is the expected return type annotation",H0,pass,E-20260902-08,2026-09-03
Q-20260902-09,2026-09-02,TENSOR-MODEL,Explain elements axes ndim shape dtype device NCHW element count and Flatten invariants,No-notes session teach-back,"Correct definitions; NCHW and 24576 elements; default Flatten gives (4 6144); shape and ndim change while numel dtype and device remain",H0,pass,E-20260902-09,2026-09-03
Q-20260902-10,2026-09-02,TENSOR-MODEL,Recall the Flatten.forward source file and direct Python-level callee,Source exercise and no-notes close,"Located torch/nn/modules/flatten.py but first said forward was the callee; corrected after H1 to input.flatten(self.start_dim self.end_dim)",H1,partial,E-20260902-10,2026-09-03
Q-20260902-11,2026-09-02,TENSOR-MODEL,Separate source observation installed-binary runtime verification and the unverified boundary,No-notes close then explicit evidence-boundary teaching,"Initially omitted the boundary; after H2 stated source verified the direct callee binary verified shape dtype device and numel and pinned v2.13 runtime was not verified",H2,partial,E-20260902-11,2026-09-03
Q-20260902-12,2026-09-02,PY-DATAMODEL,Explain start_dim 1 end_dim -1 and which NCHW axis is retained,No-notes close with ambiguity follow-up,"Said start_dim 1 then clarified it starts at C and preserves N; end_dim -1 means the last axis",H0,pass,E-20260902-12,2026-09-03
